,a
0,3.94520547945
1,2.06575342466
2,1.49589041096
3,1.20821917808
4,1.31232876712
5,3.08219178082
6,0.454794520548
7,5.04109589041
8,12.8219178082
9,4.16712328767
10,3.52876712329
11,1.72876712329
12,0.287671232877
13,0.772602739726
14,2.02465753425
15,1.86301369863
16,8.95890410959
17,1.97808219178
18,7.90684931507
19,3.14246575342
20,1.53150684932
21,6.4301369863
22,2.20821917808
23,3.26301369863
24,2.43561643836
25,3.2
26,4.75890410959
27,0.761643835616
28,0.969863013699
29,2.25479452055
30,1.6602739726
31,4.12054794521
32,2.18082191781
33,1.07397260274
34,2.45205479452
35,2.34246575342
36,2.05479452055
37,1.89863013699
38,2.87671232877
39,2.18904109589
